Series Name,Series Code,Country Name,Country Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Population, total",SP.POP.TOTL,India,IND,883927600,902957070,922118387,941163767,960301044,979678458,999133762,1018665080,1038225823,1057922733,1077898575,1097600380,1116803006,1135991513,1154676322,1172878890,1190676021,1207930964,1225524753,1243481564,1261224954,1278674502,1295829511,1312277191,1328024498,1343944296,1359657400,1374659064,1389030312,1402617695
"Population, total",SP.POP.TOTL,Indonesia,IDN,186778238,190043744,193305168,196591828,199888057,203204348,206536095,209826788,213004668,216077790,219097902,222088495,225048008,227926649,230871650,233951652,237062337,240157903,243220028,246305322,249470032,252698525,255852467,258877399,261799249,264627418,267346658,269951846,272489381,274814866
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,59986931,61184983,61403543,61520598,62205567,62881300,63639638,64519859,65445391,66418659,67452005,68011317,68769340,70256316,71828455,73392747,74602648,75514204,76457825,77420842,78383598,79370580,80414686,81502045,82619362,83812228,85026754,86117998,87051648,87723443
"Population, total",SP.POP.TOTL,Iraq,IRQ,17767253,18300845,19201195,20139807,20825860,21501321,22176593,22884399,23636527,24424056,25197840,26006559,26802659,27577878,28407448,28616515,28391607,28971036,30058206,31045366,32161424,33654842,35281989,36550059,37560535,38469627,39337353,40265624,41192171,42116605
"Population, total",SP.POP.TOTL,Ireland,IRL,3534235,3558430,3576261,3590386,3608841,3637510,3674171,3712696,3754786,3805174,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4762722,4827445,4898022,4976456,5039747
"Population, total",SP.POP.TOTL,Isle of Man,IMN,69808,70353,70772,71168,71513,72047,72909,73861,74790,75659,76476,77275,78049,78792,79516,80294,81147,82029,82939,83873,84382,84335,84141,83892,83593,83466,83609,83805,83957,84064
"Population, total",SP.POP.TOTL,Israel,ISR,4949000,5123000,5261000,5399000,5545000,5692000,5836000,5971000,6125000,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700,8380100,8546000,8713300,8882800,9054000,9215100
"Population, total",SP.POP.TOTL,Italy,ITA,56758521,56797087,56831821,56843400,56844303,56860281,56890372,56906744,56916317,56942108,56976981,57089824,57399184,57828179,58166682,58399861,58756247,59211181,59555454,59819407,60026841,60191247,60311613,60320707,60229605,60115223,60002252,60148658,59729081,59438851
"Population, total",SP.POP.TOTL,Jamaica,JAM,2400869,2424701,2449916,2475220,2500151,2524463,2547848,2569736,2589795,2607826,2624403,2640572,2656623,2672225,2687066,2700968,2713800,2725635,2736995,2748568,2760494,2772430,2783687,2793749,2802534,2809915,2815764,2820097,2823271,2830739
"Population, total",SP.POP.TOTL,Japan,JPN,123964000,124425000,124829000,125178000,125472000,125757000,126057000,126400000,126631000,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,127076000,126972000,126811000,126633000,126261000
"Population, total",SP.POP.TOTL,Jordan,JOR,3915149,4127693,4348020,4561406,4752096,4912516,5046285,5164284,5276444,5386945,5498894,5616066,5741828,5882061,6029587,6427371,6827227,6989866,7141753,7297043,7480424,7587127,7991809,8791710,9544729,10006367,10234226,10462306,10671891,10865228
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,17278600,17332625,17274487,17043771,16730536,16416027,16043251,15647785,15455874,15501103,15575550,15656677,15747380,15850159,15968117,16103716,16257214,16426525,16619846,16836810,17066002,17306106,17556502,17816285,18084169,18363600,18651931,18932727,19209555,19482117
"Population, total",SP.POP.TOTL,Kenya,KEN,23646514,24382460,25117188,25857130,26601751,27344211,28101768,28888057,29733408,30642890,31619170,32629808,33652223,34713455,35796484,36904008,38036349,39206351,40408891,41598567,42758461,43888303,44986791,46051440,47088526,48139687,49197766,50207107,51202827,52217334
"Population, total",SP.POP.TOTL,Kiribati,KIR,76367,77641,78841,80021,81234,82623,84147,85657,87126,88613,90335,92264,94175,96085,98035,100017,102068,104222,106467,108704,110647,112284,113838,115326,116815,118478,120275,122084,123921,126099
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,21428638,21750911,22073352,22393975,22669304,22895746,23110830,23311564,23497599,23665910,23815358,23943973,24090380,24254943,24396433,24524507,24646383,24764618,24878332,24987258,25097874,25211728,25329451,25451262,25575350,25698326,25817709,25931147,26037632,26136312
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,43295704,43747962,44194628,44641540,45092991,45524681,45953580,46286503,46616677,47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51217803,51361911,51585058,51764822,51836239
"Population, total",SP.POP.TOTL,Kosovo,XKX,2005362,2039723,2072664,2105256,2137514,2168753,2197284,2078964,1871524,1802493,1820009,1829462,1826434,1822773,1818354,1813079,1807094,1800858,1794681,1788743,1791949,1807126,1818119,1812788,1788274,1777568,1791019,1797086,1788891,1790151
"Population, total",SP.POP.TOTL,Kuwait,KWT,1351399,1634961,1672151,1664361,1681513,1730246,1787683,1844302,1900030,1954709,2008121,2059974,2109881,2157320,2236788,2364733,2507887,2651421,2795484,2943372,3132814,3337109,3507844,3665876,3834574,4004096,4154812,4323515,4442316,4400267
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,4463634,4515400,4516777,4515069,4560454,4628438,4696421,4769015,4840422,4898362,4945073,4990704,5043308,5104713,5162640,5218373,5268385,5318729,5389643,5467059,5546587,5652076,5777150,5905848,6040036,6175338,6306696,6444079,6590211,6726596
"Population, total",SP.POP.TOTL,Lao PDR,LAO,4435118,4559646,4685060,4809220,4929409,5045678,5152011,5248266,5340784,5431212,5521482,5610889,5697945,5781626,5869523,5963200,6056236,6148969,6241642,6334194,6426590,6518978,6611385,6703172,6801645,6908802,7018147,7128045,7237636,7346533
"Population, total",SP.POP.TOTL,Latvia,LVA,2650581,2614338,2563290,2520742,2485056,2457222,2432851,2410019,2390482,2367550,2337170,2310173,2287955,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2012647,1993782,1977527,1959537,1942248,1927174,1913822,1900449
"Population, total",SP.POP.TOTL,Lebanon,LBN,3668912,3747371,3820647,3889799,3960735,4034781,4108405,4181281,4255277,4329340,4401918,4463504,4525508,4599279,4671102,4751136,4844118,4925354,4992287,5041288,5096020,5235742,5743436,6346990,6472469,6323060,6160128,5984119,5794594,5702398
"Population, total",SP.POP.TOTL,Lesotho,LSO,1842379,1873274,1901793,1927707,1951437,1972418,1988130,1998049,2003234,2003913,2000853,1994679,1985059,1971129,1953076,1945063,1953268,1966541,1980883,1996251,2014009,2034354,2056504,2080089,2104611,2130422,2157110,2183603,2209405,2235727
"Population, total",SP.POP.TOTL,Liberia,LBR,1956518,2072461,2155126,2149928,2169162,2232289,2412989,2670124,2821684,2928117,3015338,3094782,3119532,3156892,3301015,3490787,3669050,3821003,3943028,4058890,4221178,4373043,4470239,4564293,4659431,4755608,4848925,4944726,5043721,5149463
"Population, total",SP.POP.TOTL,Libya,LBY,4544400,4640352,4733045,4822037,4906843,4987393,5064639,5140704,5218038,5305021,5403639,5508410,5619398,5736693,5858798,5980211,6104380,6235430,6366686,6497839,6343203,6179328,6304628,6427252,6531819,6632126,6738770,6849055,6951033,7045399
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,29209,29627,30089,30470,30776,31033,31232,31668,32221,32645,33194,33694,34079,34447,34753,35037,35262,35473,35742,36022,36312,36657,36984,37248,37494,37716,37962,38246,38563,38901
"Population, total",SP.POP.TOTL,Lithuania,LTU,3704134,3700114,3682613,3657144,3629102,3601613,3575137,3549331,3524238,3499536,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2989139,2961250,2937253,2911109,2877325,2842639,2819200,2811089,2810369
"Population, total",SP.POP.TOTL,Luxembourg,LUX,387000,392175,397475,402925,408625,414225,419450,424700,430475,436300,441525,446175,451630,458095,465158,472637,479993,488650,497783,506953,518347,530946,543360,556319,569604,582014,596336,607950,620001,630419
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,351650,370900,384000,396800,409300,415100,417300,422300,427400,430600,433900,438400,443600,454700,473500,498900,520900,540700,535000,537000,549600,567900,591900,621700,642900,652500,648400,658900,672000,685400
"Population, total",SP.POP.TOTL,Madagascar,MDG,12421412,12800870,13197345,13613850,14051275,14510711,14990814,15489364,16000506,16516338,17032939,17549913,18071854,18606608,19159707,19730909,20318583,20923840,21547280,22183340,22822300,23462438,24109290,24764348,25426702,26099952,26788375,27494926,28219554,28953556
"Population, total",SP.POP.TOTL,Malawi,MWI,9844227,10135079,10284024,10164894,10150117,10352228,10562035,10792876,11047804,11315942,11593058,11880440,12181574,12500737,12840031,13198701,13576343,13976417,14395788,14826463,15265022,15709577,16161816,16621538,17085587,17557739,18039715,18528081,19025752,19533888
"Population, total",SP.POP.TOTL,Malaysia,MYS,18342464,18834572,19322664,19820446,20330599,20850087,21375218,21906713,22435531,22967816,23526538,24102477,24679602,25256772,25836071,26417909,26998389,27570059,28124778,28655776,29162039,29662831,30174265,30696137,31232798,31789685,32355644,32910967,33440596,33889558
"Population, total",SP.POP.TOTL,Maldives,MDV,231802,238543,244884,250822,256649,262347,267707,272723,277412,282019,286767,291616,296491,301413,306429,313851,324479,336170,348275,360792,373674,386818,400070,413617,428154,443308,458287,473099,487731,502118
"Population, total",SP.POP.TOTL,Mali,MLI,9362888,9553540,9754786,9967031,10185365,10407278,10646495,10919573,11227415,11559290,11912158,12288050,12684955,13102409,13538647,13990139,14457775,14940782,15435539,15945198,16469049,16957033,17459615,18020267,18593022,19191289,19813011,20442030,21068405,21713836
"Population, total",SP.POP.TOTL,Malta,MLT,363845,367618,371308,374797,377419,379905,382791,385287,387578,390087,393028,395969,398582,401268,403834,405308,406724,409379,412477,414508,416268,420028,424810,433481,444220,454505,467106,483903,503912,515490
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,45568,46388,47093,47712,48266,48775,49259,49717,50202,50706,51123,51425,51639,51791,51906,51992,52035,52030,52019,52044,51907,51419,50681,49796,48800,47709,46529,45285,44007,42706
"Population, total",SP.POP.TOTL,Mauritania,MRT,2009738,2088135,2174328,2249454,2312017,2358188,2411306,2474651,2541698,2613441,2678760,2738655,2802046,2868664,2939059,3013660,3093059,3183269,3284448,3390965,3502811,3619034,3734318,3848514,3965959,4086657,4210600,4337685,4467708,4600131
"Population, total",SP.POP.TOTL,Mauritius,MUS,1070266,1084441,1097374,1112846,1122457,1133996,1148284,1160421,1175267,1186873,1196287,1204621,1213370,1221003,1228254,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258927,1261208,1262879,1263747,1264887,1265577,1265985,1266014
"Population, total",SP.POP.TOTL,Mexico,MEX,84430572,86044809,87653807,89259205,90862455,92452702,94021207,95575245,97115707,98625552,100099099,101548624,102978515,104394131,105811504,107253666,108774360,110374288,111999721,113623895,115243504,116818208,118343573,119784261,121072306,122251351,123400057,124573711,125762982,126799054
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,102754,104806,107066,109075,110230,110710,111071,111377,111680,112044,112365,112448,112285,111925,111412,110729,109880,108936,107957,107540,107698,107890,108121,108396,108716,109075,109481,109909,110282,110916
"Population, total",SP.POP.TOTL,Moldova,MDA,2981566,2980965,2975966,2966745,2953200,2947293,2936413,2935227,2930622,2924668,2918135,2911385,2903198,2896023,2888985,2880967,2874299,2868833,2865213,2862354,2860699,2860324,2859558,2857815,2835978,2803186,2755189,2707203,2664224,2635130
"Population, total",SP.POP.TOTL,Monaco,MCO,30625,30887,31136,31375,31609,31837,32063,32267,32410,32455,32447,32422,32374,32307,32210,32057,31837,31836,32364,33163,33946,34711,35447,36128,36757,37276,37678,38154,38109,38050
"Population, total",SP.POP.TOTL,Mongolia,MNG,2165342,2167790,2165130,2189395,2224945,2259507,2291750,2323809,2356813,2388299,2417751,2449027,2480374,2508412,2536407,2567168,2601850,2643201,2691115,2738622,2786317,2839705,2899011,2963113,3026864,3088856,3148917,3208189,3267673,3327204
"Population, total",SP.POP.TOTL,Montenegro,MNE,607105,608516,610170,611389,611712,611003,609520,607662,606001,604950,607389,609828,612267,613353,614261,615025,615875,616969,618294,619428,620345,621418,622587,623744,624651,625353,625982,626438,626753,626590
"Population, total",SP.POP.TOTL,Morocco,MAR,24799014,25212468,25614586,26000822,26399429,26808107,27213337,27621648,28027179,28423435,28814643,29198142,29571415,29953018,30358144,30771178,31186468,31606767,32030778,32467016,32912588,33355241,33787571,34204780,34607588,35023457,35446392,35839760,36210898,36584208
"Population, total",SP.POP.TOTL,Mozambique,MOZ,13352090,13613316,14051192,15033853,15960530,16492480,16949982,17340464,17734506,18129653,18537729,18958338,19392475,19840313,20304569,20787087,21287635,21819036,22391745,22999235,23649039,24337846,25051611,25788475,26547572,27337105,28166393,29018644,29884380,30783688
"Population, total",SP.POP.TOTL,Myanmar,MMR,40394154,40950342,41502429,42055143,42605338,43154860,43708798,44257793,44787724,45290841,45771139,46232653,46667192,47068772,47438365,47785135,48125043,48390793,48660459,49024382,49419820,49837446,50262658,50681634,51089056,51495696,51894938,52272247,52640713,53016522
"Population, total",SP.POP.TOTL,Namibia,NAM,1415684,1461322,1508697,1556304,1602170,1646103,1689264,1732745,1776368,1818647,1857048,1889970,1917464,1942082,1966582,1991888,2018600,2047056,2077394,2109811,2146325,2194654,2252508,2312139,2374300,2439213,2506853,2577327,2650494,2728762
"Population, total",SP.POP.TOTL,Nauru,NRU,9850,10021,10102,10137,10165,10183,10197,10198,10187,10168,10130,10082,10059,10060,10049,10034,10020,10009,10016,10043,10098,10267,10517,10742,10954,11150,11324,11477,11587,11643
"Population, total",SP.POP.TOTL,Nepal,NPL,20036500,20609707,21180159,21717479,22245439,22741862,23219463,23680357,24125199,24546509,24946748,25328981,25688758,26016656,26309458,26565425,26788492,26990037,27173035,27341952,27464494,27534915,27589996,27672370,27823629,27955462,28011258,28079689,28414064,28966574
"Population, total",SP.POP.TOTL,Netherlands,NLD,15069798,15184166,15290368,15382838,15459006,15530498,15610650,15707209,15812088,15925513,16046180,16148929,16225302,16281779,16319868,16346101,16381696,16445593,16530388,16615394,16693074,16754962,16804432,16865008,16939923,17030314,17131296,17231624,17344874,17441500
"Population, total",SP.POP.TOTL,New Caledonia,NCL,181238,186072,190857,195614,200379,205034,209560,214047,218527,223098,227707,232236,236678,240852,244381,247547,250725,253825,257250,261582,266543,271633,276822,281224,283168,283423,283546,283541,283606,284176
"Population, total",SP.POP.TOTL,New Zealand,NZL,3495100,3531700,3572200,3620000,3673400,3732000,3781300,3815000,3835100,3857700,3880500,3948500,4027200,4087500,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4516500,4609400,4714100,4813600,4900600,4979200,5090200
"Population, total",SP.POP.TOTL,Nicaragua,NIC,4259637,4357026,4453732,4549316,4642931,4729974,4809573,4883655,4954018,5022633,5087825,5149909,5210963,5272912,5342105,5418855,5497243,5576593,5656601,5737450,5819051,5901287,5983845,6066492,6149417,6232666,6316231,6400080,6483657,6565267
"Population, total",SP.POP.TOTL,Niger,NER,8546900,8817633,9100789,9398258,9714529,10044852,10383969,10741413,11117411,11509630,11920647,12349144,12796984,13265836,13756192,14268581,14803610,15361915,15943675,16548835,17176283,17836769,18519898,19215909,19939498,20685753,21435446,22188069,22947757,23717613
"Population, total",SP.POP.TOTL,Nigeria,NGA,99720162,102372770,105122069,107935714,110819428,113754779,116754792,119846254,123047320,126382494,129862595,133471989,137202644,141057045,145017253,149077334,153267261,157595014,162049464,166642886,171379598,176200625,181049443,185896915,190671878,195443700,200254579,204938755,209485641,213996181
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2055994,2032523,2006854,1992666,1998534,2012553,1996869,2007523,2017142,2026350,2034882,2020157,2022725,2016186,2005330,1994287,1982933,1971493,1958782,1946298,1937398,1929821,1922716,1917557,1912430,1906313,1898657,1889051,1876262,1856124
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,44393,45181,45952,46730,48176,51706,56596,61337,65916,68356,67984,66778,65421,63938,62354,60682,58941,57150,55325,54091,53608,53234,52758,52178,51514,50773,49959,49077,48129,47528
"Population, total",SP.POP.TOTL,Norway,NOR,4261732,4286401,4311991,4336613,4359184,4381336,4405157,4431464,4461913,4490967,4513751,4538159,4564855,4591910,4623291,4660677,4709153,4768212,4828726,4889252,4953088,5018573,5079623,5137232,5188607,5234519,5276968,5311916,5347896,5379475
"Population, total",SP.POP.TOTL,Oman,OMN,1851473,1938238,2021675,2081834,2120528,2156926,2190720,2222489,2252909,2282131,2310217,2337140,2363796,2404821,2459802,2514795,2570174,2626529,2684659,2757446,3076763,3547106,3833913,4002439,4184895,4390877,4537396,4597877,4591241,4522497
"Population, total",SP.POP.TOTL,Pakistan,PAK,120060406,123546848,127020117,130748083,134582253,138557092,142531804,146522356,150565377,154879127,159270907,163222549,167110248,171286000,175453212,179682690,184493231,189499113,194376534,199239047,203746065,207667125,211073978,214264647,217290883,220138869,223273967,226928892,230800899,235001746
"Population, total",SP.POP.TOTL,Palau,PLW,15614,15989,16372,16770,17195,17654,18108,18524,18901,19178,19352,19503,19659,19820,19819,19593,19302,19009,18709,18396,18078,17765,17648,17715,17770,17797,17812,17814,17798,17792
"Population, total",SP.POP.TOTL,Panama,PAN,2508265,2561336,2615099,2669546,2724557,2780227,2836695,2893914,2951822,3010369,3069537,3129344,3189807,3251155,3313026,3375024,3437490,3500648,3564381,3628535,3693505,3759256,3825329,3892101,3960035,4029086,4098707,4167860,4234700,4293261
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,4021837,4166699,4320872,4480208,4644278,4813361,4987883,5166390,5349333,5537064,5728435,5924003,6123997,6328041,6535905,6747720,6963345,7183002,7406438,7633523,7859346,8081390,8302698,8523441,8743246,8961718,9178714,9394513,9609010,9815746
"Population, total",SP.POP.TOTL,Paraguay,PRY,4144364,4253600,4362696,4471417,4579806,4687543,4794412,4900025,5003135,5100868,5187689,5261328,5326436,5388175,5448097,5505148,5559386,5613574,5671236,5737971,5814626,5897008,5982445,6069811,6159103,6249126,6338660,6427382,6515058,6603739
"Population, total",SP.POP.TOTL,Peru,PER,22483775,22946340,23413783,23881493,24348919,24811171,25274147,25738095,26186504,26598331,26964601,27288217,27580490,27852190,28101180,28324491,28530699,28719041,28896811,29086019,29304086,29550366,29817919,30115826,30457600,30866494,31324637,31897584,32449303,32838579
"Population, total",SP.POP.TOTL,Philippines,PHL,64382249,65926125,67530621,69019291,70546246,72190242,73908810,75791024,77753257,79625397,81401488,83068889,84731835,86394504,88015962,89508986,91075184,92699095,94384250,96337125,98248614,100175512,102076336,103767130,105312992,106735719,108119693,109465287,110804683,112081264
"Population, total",SP.POP.TOTL,Poland,POL,38246193,38363667,38461408,38542652,38594998,38624370,38649660,38663481,38660271,38258629,38248076,38230364,38204570,38182222,38165445,38141267,38120560,38125759,38151603,38042794,38063255,38063164,38040196,38011735,37986412,37970087,37974826,37974750,37965475,37515748
"Population, total",SP.POP.TOTL,Portugal,PRT,9960235,9952494,9964675,9991525,10026176,10063945,10108977,10160196,10217828,10289898,10362722,10419631,10458821,10483861,10503330,10522288,10542964,10558177,10568247,10573100,10557560,10514844,10457295,10401062,10358076,10325452,10300300,10283822,10286263,10297081
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3562110,3585176,3615497,3649237,3683103,3724655,3759430,3781101,3800081,3810605,3818774,3823701,3826095,3826878,3821362,3805214,3782995,3760866,3740410,3724465,3693464,3661045,3631427,3585017,3535167,3480432,3410837,3290690,3302691,3281590
"Population, total",SP.POP.TOTL,Qatar,QAT,454853,469657,484545,499459,514325,529019,550500,580540,612500,644989,677925,711205,744682,773332,825408,972831,1208595,1426938,1608903,1616832,1624761,1722438,1916426,2151745,2344557,2477113,2545820,2580734,2638657,2794148
"Population, total",SP.POP.TOTL,Romania,ROU,23001155,22794284,22763280,22730211,22684270,22619004,22553978,22507344,22472040,22442971,22131970,21730496,21574326,21451748,21319685,21193760,20882982,20537875,20367487,20246871,20147528,20058035,19983693,19908979,19815616,19702267,19588715,19473970,19371648,19265250
"Population, total",SP.POP.TOTL,Russian Federation,RUS,148394216,148538197,148458777,148407912,148375787,148160129,147915361,147670784,147214776,146596869,145976482,145306497,144648618,144067316,143518814,143049637,142805114,142742366,142785348,142849468,143018195,143378447,143805638,144237223,144640716,145015460,145293260,145398106,145453291,145245148
"Population, total",SP.POP.TOTL,Rwanda,RWA,7526966,7683266,7981132,6792352,5674118,6708764,7755238,8081681,8147912,8213931,8287094,8400180,8586875,8816844,9054528,9299246,9549933,9804269,10060432,10317553,10573733,10829901,11093340,11364757,11640022,11919183,12202060,12487996,12776103,13065837
"Population, total",SP.POP.TOTL,Samoa,WSM,169368,170331,171774,173159,174571,176071,177547,178905,180275,181685,183166,184471,185430,186249,186978,187709,188753,190107,191513,193023,194713,196498,198268,200037,201782,203499,205415,207582,209780,211944
"Population, total",SP.POP.TOTL,San Marino,SMR,23797,24125,24472,24823,25158,25482,25800,26125,26459,26799,27143,27491,27843,29457,29836,30184,31211,31662,33066,33270,32620,33469,33041,32655,32897,33101,33825,34522,34663,34770
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,125697,128110,130467,132732,134895,136962,138922,140751,142442,144018,146375,149922,153814,157705,161639,165638,169700,173793,177853,181802,185649,189439,193148,196767,200291,203689,206970,210187,213392,217435
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,11160744,11686676,12215862,12750040,13289245,13831009,14374943,14922185,15472075,16177722,17041397,17910910,18786767,19669480,20559890,21459144,22368313,23287877,24217654,23978487,25091867,26168861,27624004,28309273,29816382,30954198,30977355,30196281,30063799,31552510
"Population, total",SP.POP.TOTL,Senegal,SEN,7943085,8168395,8396288,8624078,8848101,9067014,9283495,9502952,9730887,9968260,10212942,10466214,10721176,10975704,11235472,11500094,11770344,12048959,12337389,12635413,12958897,13310495,13710849,14152102,14593331,15034521,15475002,15914498,16352922,16789219
"Population, total",SP.POP.TOTL,Serbia,SRB,7595636,7604063,7614328,7622711,7628264,7622185,7598538,7567745,7540401,7516346,7503433,7500031,7480591,7463157,7440769,7411569,7381579,7350222,7320807,7291436,7236519,7201497,7166553,7131787,7095383,7058322,7020858,6982604,6945235,6899126
"Population, total",SP.POP.TOTL,Seychelles,SYC,70439,70763,72253,74205,75304,76417,77319,78846,80410,81131,81202,83723,82781,82475,82858,84600,85033,86956,87298,89770,87441,88303,89949,91359,93419,94677,95843,96762,97625,98462
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,4246267,4166366,4157130,4173105,4179179,4199210,4253716,4295785,4318043,4423611,4692716,4971435,5177687,5355717,5501712,5624466,5749352,5894722,6055646,6222714,6387251,6551080,6714051,6876385,7037655,7205328,7379299,7554563,7731991,7912558
"Population, total",SP.POP.TOTL,Singapore,SGP,3135083,3230698,3313471,3419048,3524506,3670704,3796038,3927213,3958723,4027887,4138012,4175950,4114826,4166664,4265762,4401365,4588599,4839396,4987573,5076732,5183688,5312437,5399162,5469724,5535002,5607283,5612253,5638676,5703569,5685807
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,30046,31567,32026,31917,31772,31598,31404,31193,30977,30773,30726,30960,31327,31690,32057,32428,32791,33145,33491,33794,34267,35023,35854,36672,37471,38249,38996,39712,40385,41008
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5303294,5305016,5325305,5346331,5361999,5373361,5383291,5390516,5396020,5388720,5378867,5376912,5373374,5372280,5372807,5373054,5374622,5379233,5386406,5391428,5398384,5407579,5413393,5418649,5423801,5430798,5439232,5446771,5454147,5458827
"Population, total",SP.POP.TOTL,Slovenia,SVN,1999429,1996498,1991746,1989443,1989872,1988628,1985956,1981629,1983045,1988925,1992060,1994530,1995733,1997012,2000474,2006868,2018122,2021316,2039669,2048583,2052843,2057159,2059953,2061980,2063531,2065042,2066388,2073894,2088385,2102419
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,341738,352205,362839,373675,384733,396009,407474,419071,430500,440469,449125,457671,466154,474611,483080,491594,500156,508790,518141,532968,552945,573606,594945,616908,639415,662379,685672,709101,728147,744498
"Population, total",SP.POP.TOTL,Somalia,SOM,6813760,6495107,6681399,7026797,7285007,7554474,7824525,8155417,8492059,8838713,9198493,9550063,9909157,10280998,10644228,10975502,11322582,11663084,11961201,12261756,12348830,12461160,12869594,13339491,13806963,14348740,14916629,15452487,16030971,16651191
"Population, total",SP.POP.TOTL,South Africa,ZAF,41687898,42443509,43297156,44004139,44541554,45123018,45666838,46223880,46730335,47159719,47566800,48019415,48500348,48991421,49490033,49998277,50528584,51114599,51728516,52344051,52995205,53782567,54678791,55594838,56723537,57259551,57635162,58613001,59587885,60562381
"Population, total",SP.POP.TOTL,South Sudan,SSD,4836677,4909749,4956002,5071184,5225836,5356925,5509136,5620068,5771628,6032267,6308391,6596806,6903127,7233041,7590143,7976526,8388788,8817647,9243556,9745953,10288109,10756240,11166275,11235073,11107561,10830102,10259154,10122977,10423384,10698467
"Population, total",SP.POP.TOTL,Spain,ESP,38966376,39157685,39361262,39549108,39724050,39889852,40057389,40223509,40386875,40567864,40850412,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46604197,46460733,46422303,46458139,46571232,46782011,47118501,47359424
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,16475354,16739284,17025918,17275773,17564068,17905018,18248200,18596003,18944731,19293054,19600362,19805752,19951521,20087605,20216524,20352411,20492545,20629378,20756435,20879089,21009048,21169458,20585000,20778000,20970000,21209000,21453000,21670000,21803000,21919000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,40358,40715,41242,41776,42326,42877,43428,43998,44601,45248,45761,46020,46176,46315,46437,46569,46706,46835,46916,46846,46886,47033,47069,47089,47087,47075,47050,47008,46952,46870
"Population, total",SP.POP.TOTL,St. Lucia,LCA,139520,141617,143726,145890,148208,150436,152569,154677,156702,158616,160237,161641,162976,164239,165450,166639,167758,168808,169869,170906,171801,172587,173369,174138,174905,175646,176342,177017,177661,178250
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,28800,29081,29282,29413,29470,29443,29323,29107,29284,29996,30803,31604,32395,33171,33928,34658,35337,35958,36502,36856,37069,37276,37419,37450,37369,37175,36837,36012,34267,31786
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,112222,112509,112735,112918,113047,113119,113141,113180,113366,113545,113501,113347,113141,112835,112450,112014,111531,111028,110508,109959,109349,108736,108135,107535,106960,106349,105663,104926,104167,103526
"Population, total",SP.POP.TOTL,Sudan,SDN,22470676,22927355,23445592,24043948,24672143,25231528,25799821,26458999,27130613,27816745,28516770,29228727,29896035,30556637,31262444,31992435,32764135,33623980,34569113,35414399,36140806,36923178,37785849,38823318,40024431,41259892,42714306,44230596,45548175,46789231
"Population, total",SP.POP.TOTL,Suriname,SUR,415013,417589,419352,422375,429606,438830,448067,457406,466916,476643,486560,496551,506414,513923,519313,524997,531016,537245,543568,549923,556269,562633,569020,575373,581627,587757,593713,599513,605768,612317
